Experiment 1,Experiment 2
1A,2A
1A,2A
1B,2A
1B,2B
1B,2B
1A,2A
1A,2B
1B,2B
1B,2B
1A,2B
1A,2B
1A,2A
1A,2B
1A,2A
1A,2A
1B,2A
1B,2B
1B,2B
1B,2B
1A,2B
1B,2A
1B,2A
1B,2A
1B,2B
1B,2A
1B,2B
1A,2B
1B,2A
1A,2A
1B,2B
1A,2A
1B,2A
1B,2A
1A,2B
1A,2A
1A,2A
1A,2B
1B,2B
1B,2A
1A,2B
1A,2A
1A,2A
1A,2B
1A,2B
1B,2A
1B,2A
1A,2B
1B,2B
1B,2B
1B,2B
1A,2A
1A,2A
1A,2A
1A,2A
1B,2A
1A,2A
1B,2B
1A,2A
1A,2B
1A,2B
1B,2B
1A,2A
1B,2B
1A,2A
1A,2A
1A,2A
1B,2A
1A,2A
1A,2A
1B,2A
1A,2A
1A,2B
1A,2B
1A,2A
1A,2A
1A,2A
1A,2A
1A,2A
1B,2A
1A,2B
1A,2B
1A,2A
1A,2A
1A,2B
1B,2A
1A,2B
1A,2B
1A,2A
1A,2A
1A,2A
1B,2B
1A,2B
1A,2A
1B,2A
1A,2A
1A,2A
1A,2A
1B,2A
1B,2B
1A,2A
